biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SAMN21362786	1082_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP199_S121_L001_R1_001.fastq.gz	HP199_S121_L001_R2_001.fastq.gz				
SAMN21362787	1600_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP115_S74_L001_R1_001.fastq.gz	HP115_S74_L001_R2_001.fastq.gz				
SAMN21362788	1826_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP200_S133_L001_R1_001.fastq.gz	HP200_S133_L001_R2_001.fastq.gz				
SAMN21362789	1728_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP201_S145_L001_R1_001.fastq.gz	HP201_S145_L001_R2_001.fastq.gz				
SAMN21362790	1544_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP202_S157_L001_R1_001.fastq.gz	HP202_S157_L001_R2_001.fastq.gz				
SAMN21362791	1223_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP203_S169_L001_R1_001.fastq.gz	HP203_S169_L001_R2_001.fastq.gz				
SAMN21362792	1611_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP204_S181_L001_R1_001.fastq.gz	HP204_S181_L001_R2_001.fastq.gz				
SAMN21362793	1775_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP102_S13_L001_R1_001.fastq.gz	HP102_S13_L001_R2_001.fastq.gz				
SAMN21362794	2875_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP205_S98_L001_R1_001.fastq.gz	HP205_S98_L001_R2_001.fastq.gz				
SAMN21362795	2860_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP206_S110_L001_R1_001.fastq.gz	HP206_S110_L001_R2_001.fastq.gz				
SAMN21362796	1126_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP207_S122_L001_R1_001.fastq.gz	HP207_S122_L001_R2_001.fastq.gz				
SAMN21362797	2204_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP208_S134_L001_R1_001.fastq.gz	HP208_S134_L001_R2_001.fastq.gz				
SAMN21362798	1744_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP209_S146_L001_R1_001.fastq.gz	HP209_S146_L001_R2_001.fastq.gz				
SAMN21362799	1580_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP116_S86_L001_R1_001.fastq.gz	HP116_S86_L001_R2_001.fastq.gz				
SAMN21362800	1427_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP210_S158_L001_R1_001.fastq.gz	HP210_S158_L001_R2_001.fastq.gz				
SAMN21362801	1090_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP211_S170_L001_R1_001.fastq.gz	HP211_S170_L001_R2_001.fastq.gz				
SAMN21362802	1323_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP212_S182_L001_R1_001.fastq.gz	HP212_S182_L001_R2_001.fastq.gz				
SAMN21362803	1487_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP213_S99_L001_R1_001.fastq.gz	HP213_S99_L001_R2_001.fastq.gz				
SAMN21362804	2878_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP214_S111_L001_R1_001.fastq.gz	HP214_S111_L001_R2_001.fastq.gz				
SAMN21362805	2414_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP215_S123_L001_R1_001.fastq.gz	HP215_S123_L001_R2_001.fastq.gz				
SAMN21362806	2409_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP216_S135_L001_R1_001.fastq.gz	HP216_S135_L001_R2_001.fastq.gz				
SAMN21362807	1047_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP217_S147_L001_R1_001.fastq.gz	HP217_S147_L001_R2_001.fastq.gz				
SAMN21362808	1595_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP218_S159_L001_R1_001.fastq.gz	HP218_S159_L001_R2_001.fastq.gz				
SAMN21362809	1499_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP219_S171_L001_R1_001.fastq.gz	HP219_S171_L001_R2_001.fastq.gz				
SAMN21362810	2363_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP117_S3_L001_R1_001.fastq.gz	HP117_S3_L001_R2_001.fastq.gz				
SAMN21362811	2068_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP220_S183_L001_R1_001.fastq.gz	HP220_S183_L001_R2_001.fastq.gz				
SAMN21362812	2413_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP221_S100_L001_R1_001.fastq.gz	HP221_S100_L001_R2_001.fastq.gz				
SAMN21362813	1138_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP222_S112_L001_R1_001.fastq.gz	HP222_S112_L001_R2_001.fastq.gz				
SAMN21362814	1250_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP223_S124_L001_R1_001.fastq.gz	HP223_S124_L001_R2_001.fastq.gz				
SAMN21362815	1278_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP224_S136_L001_R1_001.fastq.gz	HP224_S136_L001_R2_001.fastq.gz				
SAMN21362816	1050_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP225_S148_L001_R1_001.fastq.gz	HP225_S148_L001_R2_001.fastq.gz				
SAMN21362817	2072_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP226_S160_L001_R1_001.fastq.gz	HP226_S160_L001_R2_001.fastq.gz				
SAMN21362818	1317_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP227_S172_L001_R1_001.fastq.gz	HP227_S172_L001_R2_001.fastq.gz				
SAMN21362819	1043_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP228_S184_L001_R1_001.fastq.gz	HP228_S184_L001_R2_001.fastq.gz				
SAMN21362820	1343_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP229_S101_L001_R1_001.fastq.gz	HP229_S101_L001_R2_001.fastq.gz				
SAMN21362821	1486_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP118_S15_L001_R1_001.fastq.gz	HP118_S15_L001_R2_001.fastq.gz				
SAMN21362822	1542_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP230_S113_L001_R1_001.fastq.gz	HP230_S113_L001_R2_001.fastq.gz				
SAMN21362823	1820_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP231_S125_L001_R1_001.fastq.gz	HP231_S125_L001_R2_001.fastq.gz				
SAMN21362824	2081_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP232_S137_L001_R1_001.fastq.gz	HP232_S137_L001_R2_001.fastq.gz				
SAMN21362825	2977_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP233_S149_L001_R1_001.fastq.gz	HP233_S149_L001_R2_001.fastq.gz				
SAMN21362826	1415_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP234_S161_L001_R1_001.fastq.gz	HP234_S161_L001_R2_001.fastq.gz				
SAMN21362827	1101_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP236_S185_L001_R1_001.fastq.gz	HP236_S185_L001_R2_001.fastq.gz				
SAMN21362828	1041_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP237_S102_L001_R1_001.fastq.gz	HP237_S102_L001_R2_001.fastq.gz				
SAMN21362829	1159_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP119_S27_L001_R1_001.fastq.gz	HP119_S27_L001_R2_001.fastq.gz				
SAMN21362830	1058_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP238_S114_L001_R1_001.fastq.gz	HP238_S114_L001_R2_001.fastq.gz				
SAMN21362831	1767_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP239_S126_L001_R1_001.fastq.gz	HP239_S126_L001_R2_001.fastq.gz				
SAMN21362832	1445_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP240_S138_L001_R1_001.fastq.gz	HP240_S138_L001_R2_001.fastq.gz				
SAMN21362833	2419_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP241_S150_L001_R1_001.fastq.gz	HP241_S150_L001_R2_001.fastq.gz				
SAMN21362834	2402_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP242_S162_L001_R1_001.fastq.gz	HP242_S162_L001_R2_001.fastq.gz				
SAMN21362835	1653_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP243_S174_L001_R1_001.fastq.gz	HP243_S174_L001_R2_001.fastq.gz				
SAMN21362836	1579_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP244_S186_L001_R1_001.fastq.gz	HP244_S186_L001_R2_001.fastq.gz				
SAMN21362837	2002_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP245_S103_L001_R1_001.fastq.gz	HP245_S103_L001_R2_001.fastq.gz				
SAMN21362838	2210_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP246_S115_L001_R1_001.fastq.gz	HP246_S115_L001_R2_001.fastq.gz				
SAMN21362839	1641_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP120_S39_L001_R1_001.fastq.gz	HP120_S39_L001_R2_001.fastq.gz				
SAMN21362840	1145_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP247_S127_L001_R1_001.fastq.gz	HP247_S127_L001_R2_001.fastq.gz				
SAMN21362841	1207_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP248_S139_L001_R1_001.fastq.gz	HP248_S139_L001_R2_001.fastq.gz				
SAMN21362842	1652_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP249_S151_L001_R1_001.fastq.gz	HP249_S151_L001_R2_001.fastq.gz				
SAMN21362843	1218_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP250_S163_L001_R1_001.fastq.gz	HP250_S163_L001_R2_001.fastq.gz				
SAMN21362844	1037_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP251_S175_L001_R1_001.fastq.gz	HP251_S175_L001_R2_001.fastq.gz				
SAMN21362845	1701_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP252_S187_L001_R1_001.fastq.gz	HP252_S187_L001_R2_001.fastq.gz				
SAMN21362846	1581_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP253_S104_L001_R1_001.fastq.gz	HP253_S104_L001_R2_001.fastq.gz				
SAMN21362847	1328_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP254_S116_L001_R1_001.fastq.gz	HP254_S116_L001_R2_001.fastq.gz				
SAMN21362848	1706_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP255_S128_L001_R1_001.fastq.gz	HP255_S128_L001_R2_001.fastq.gz				
SAMN21362849	2554_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP121_S51_L001_R1_001.fastq.gz	HP121_S51_L001_R2_001.fastq.gz				
SAMN21362850	1059_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP256_S140_L001_R1_001.fastq.gz	HP256_S140_L001_R2_001.fastq.gz				
SAMN21362851	2087_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP257_S152_L001_R1_001.fastq.gz	HP257_S152_L001_R2_001.fastq.gz				
SAMN21362852	1594_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP122_S63_L001_R1_001.fastq.gz	HP122_S63_L001_R2_001.fastq.gz				
SAMN21362853	1548_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP258_S164_L001_R1_001.fastq.gz	HP258_S164_L001_R2_001.fastq.gz				
SAMN21362854	1449_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP259_S176_L001_R1_001.fastq.gz	HP259_S176_L001_R2_001.fastq.gz				
SAMN21362855	1642_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP260_S188_L001_R1_001.fastq.gz	HP260_S188_L001_R2_001.fastq.gz				
SAMN21362856	1707_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP261_S105_L001_R1_001.fastq.gz	HP261_S105_L001_R2_001.fastq.gz				
SAMN21362857	1563_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP262_S117_L001_R1_001.fastq.gz	HP262_S117_L001_R2_001.fastq.gz				
SAMN21362858	2212_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP263_S129_L001_R1_001.fastq.gz	HP263_S129_L001_R2_001.fastq.gz				
