Site,Site.Name,POINT,SITE.ID,Species,COLLECT.DATE,Plug_ID,Tank,Treatment,Temperature,CO2,Timepoint,ANALYSIS,TIME ,RUN,Sample.Date,Dead.Alive,NOTES,Sample Location,Shipment Date,Extraction Date,Tech,Notes,Soft DNA ng_ul,Soft RNA ng_ul,Soft RNA RIN,READY FOR RNASEQ,Hard DNA ng_ul,Hard RNA ng_ul,Hard RNA RIN,Hard DNA uL,Soft DNA uL,Hard RNA uL,Soft RNA uL,Soft DNA ug,Hard DNA ug,Soft RNA ug,Hard RNA ug,Sequencing Batch,Link to notebook post,NCBI Link
SITE 2,HIMB,5,P42,Pacuta,20180905,1753,8,ATAC,Ambient,Ambient,TP7,Physiology,13:59,Run 3,20181006,Alive,,In Freezer at HIMB,TBD,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,1,M2,Mcapitata,20180905,1761,8,ATAC,Ambient,Ambient,TP7,Physiology,13:59,Run 3,20181006,Alive,,In Freezer at HIMB,TBD,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,7,M69,Mcapitata,20180910,2389,8,ATAC,Ambient,Ambient,TP7,Physiology,13:59,Run 3,20181006,Alive,,In Freezer at HIMB,TBD,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,5,P43,Pacuta,20180907,1051,1,ATAC,Ambient,Ambient,TP8,Molecular,13:35,NA,20181020,Alive,,In Freezer at URI,20181210,20190731,ES,"209, 210",86.2,75.7,8.3,YES,45.5,68.7,8.2,90,90,95,95,7.758,4.095,7.1915,6.5265,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,
SITE 5,Reef.35.36,4,M40,Mcapitata,20180906,1083,1,ATAC,Ambient,Ambient,TP8,Molecular,13:34,NA,20181020,Alive,"re-extracted (229, 230, 629, 630)",In Freezer at URI,20181210,20191204,ES,"629, 630",21.8,15.35,8.6,YES,25.4,9.1,NA,90,90,95,95,1.962,2.286,1.45825,0.8645,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,
SITE 5,Reef.35.36,6,M55,Mcapitata,20180906,1436,6,ATAC,Ambient,Ambient,TP8,Molecular,13:43,NA,20181020,Alive,,In Freezer at URI,20181210,20190731,ES,"205, 206",16.1,14.8,9.1,YES,9.3,**,**,90,90,95,95,1.449,0.837,1.406,#VALUE!,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,
SITE 6,Reef.42.43,1,P5,Pacuta,20180905,1755,6,ATAC,Ambient,Ambient,TP8,Molecular,13:41,NA,20181020,Alive,,In Freezer at URI,20181210,20190801,ES,"251, 252",19.25,56.8,8.2,YES,12,19.6,8.6,90,90,95,95,1.7325,1.08,5.396,1.862,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,
SITE 6,Reef.42.43,5,M41,Mcapitata,20180905,1779,8,ATAC,Ambient,Ambient,TP8,Molecular,13:30,NA,20181020,Alive,phys no weigh; need to confirm in tank,In Freezer at URI,20181210,20190729,ES,"153, 154",16.95,14.6,8.7,YES,16.9,10.1,**,40,40,95,95,0.678,0.676,1.387,0.9595,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-29-Soft-and-Hard-Homogenization-Extractions-%23147-154.md,
SITE 6,Reef.42.43,5,P48,Pacuta,20180905,2012,8,ATAC,Ambient,Ambient,TP8,Molecular,13:31,NA,20181020,Alive,,In Freezer at URI,20181210,20190730,ES,"203, 204",18.9,46.5,8.8,YES,36.1,60.6,8.7,90,90,95,95,1.701,3.249,4.4175,5.757,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-30-Soft-and-Hard-Homogenization-Extractions-%23155-178.md,
SITE 4,Reef.11.13,8,M71,Mcapitata,20180907,1036,1,ATAC,Ambient,Ambient,TP8,Physiology,10:10,Run 1,20181020,Alive,phys no weigh; need to confirm in tank,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,7,M63,Mcapitata,20180906,1038,1,ATAC,Ambient,Ambient,TP8,Physiology,10:10,Run 1,20181020,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,3,P26,Pacuta,20180906,1046,1,ATAC,Ambient,Ambient,TP8,Physiology,10:10,Run 1,20181020,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,6,P55,Pacuta,20180910,1181,1,ATAC,Ambient,Ambient,TP8,Physiology,10:10,Run 1,20181020,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,4,P40,Pacuta,20180906,1484,6,ATAC,Ambient,Ambient,TP8,Physiology,15:02,Run 5,20181020,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,3,M21,Mcapitata,20180908,1534,6,ATAC,Ambient,Ambient,TP8,Physiology,15:02,Run 5,20181020,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,4,M35,Mcapitata,20180907,1551,8,ATAC,Ambient,Ambient,TP8,Physiology,12:37,Run 3,20181020,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,1,M12,Mcapitata,20180910,1679,8,ATAC,Ambient,Ambient,TP8,Physiology,12:37,Run 3,20181020,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,2,P13,Pacuta,20180905,1756,6,ATAC,Ambient,Ambient,TP8,Physiology,15:02,Run 5,20181020,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,1,P1,Pacuta,20180905,2014,8,ATAC,Ambient,Ambient,TP8,Physiology,12:37,Run 3,20181020,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,5,P46,Pacuta,20180905,2015,8,ATAC,Ambient,Ambient,TP8,Physiology,12:37,Run 3,20181020,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,4,M37,Mcapitata,20180910,2303,6,ATAC,Ambient,Ambient,TP8,Physiology,15:02,Run 5,20181020,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,5,M42,Mcapitata,20180904,1121,1,ATAC,Ambient,Ambient,TP9,Molecular,13:30,NA,20181103,Alive,"re-extracted (201, 202, 555, 556, 639, 640); phys no weigh; need to confirm in tank",In Freezer at URI,20181127,20191204,ES,"639, 640",30.1,16.9,8.7,YES,20.4,10.8,NA,90,90,95,95,2.709,1.836,1.6055,1.026,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,
SITE 6,Reef.42.43,4,P33,Pacuta,20180905,1141,1,ATAC,Ambient,Ambient,TP9,Molecular,13:31,NA,20181103,Alive,,In Freezer at URI,20181127,20190722,ES,"69, 70",16.95,47.2,7.3,YES,24.1,25.4,7,90,90,90,90,1.5255,2.169,4.248,2.286,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-22-Soft-and-Hard-Homogenization-Extractions-%2353-72.md,
SITE 5,Reef.35.36,7,M69,Mcapitata,20180906,1420,6,ATAC,Ambient,Ambient,TP9,Molecular,13:40,NA,20181103,Alive,,In Freezer at URI,20181127,20190722,ES,"57, 58",34.6,37.2,8.4,YES,20.9,18.6,8.5,90,90,90,90,3.114,1.881,3.348,1.674,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-22-Soft-and-Hard-Homogenization-Extractions-%2353-72.md,
SITE 5,Reef.35.36,4,M33,Mcapitata,20180906,1580,8,ATAC,Ambient,Ambient,TP9,Molecular,13:26,NA,20181103,Alive,,In Freezer at URI,20181127,20190718,ES,"31, 32",22.4,24,8.7,YES,15.8,11.7,8.4,90,90,90,90,2.016,1.422,2.16,1.053,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,
SITE 5,Reef.35.36,1,P2,Pacuta,20180906,1594,8,ATAC,Ambient,Ambient,TP9,Molecular,13:26,NA,20181103,Alive,,In Freezer at URI,20181127,20190720,ES,"43, 44",28.1,29.4,7.6,YES,16.1,25.8,7.8,90,90,90,90,2.529,1.449,2.646,2.322,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-20-Soft-and-Hard-Homogenization-Extractions-%2333-52.md,
SITE 3,Reef.18,7,P68,Pacuta,20180910,2357,6,ATAC,Ambient,Ambient,TP9,Molecular,13:42,NA,20181103,Alive,,In Freezer at URI,20181127,20190718,ES,"9, 10",57.2,77.9,7.8,YES,61.8,48.4,7.3,90,90,90,90,5.148,5.562,7.011,4.356,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,
SITE 1,Lilipuna.Fringe,7,M61,Mcapitata,20180908,1042,1,ATAC,Ambient,Ambient,TP9,Physiology,10:06,Run 1,20181103,Alive,phys no weigh; need to confirm in tank,In Transit to URI 20190207,,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,7,P68,Pacuta,20180906,1048,1,ATAC,Ambient,Ambient,TP9,Physiology,10:06,Run 1,20181103,Alive,,In Transit to URI 20190207,,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,4,M36,Mcapitata,20180910,1065,1,ATAC,Ambient,Ambient,TP9,Physiology,10:06,Run 1,20181103,Alive,,In Transit to URI 20190207,,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,5,P48,Pacuta,20180906,1088,1,ATAC,Ambient,Ambient,TP9,Physiology,10:06,Run 1,20181103,Alive,,In Transit to URI 20190207,,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,7,P69,Pacuta,20180907,1423,6,ATAC,Ambient,Ambient,TP9,Physiology,15:05,Run 5,20181103,Alive,,In Transit to URI 20190207,,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,5,M42,Mcapitata,20180907,1443,6,ATAC,Ambient,Ambient,TP9,Physiology,15:05,Run 5,20181103,Alive,,In Transit to URI 20190207,,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,4,M36,Mcapitata,20180906,1444,6,ATAC,Ambient,Ambient,TP9,Physiology,15:05,Run 5,20181103,Alive,,In Transit to URI 20190207,,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,3,M22,Mcapitata,20180908,1592,8,ATAC,Ambient,Ambient,TP9,Physiology,12:28,Run 3,20181103,Alive,,In Transit to URI 20190207,,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,3,P22,Pacuta,20180905,1752,6,ATAC,Ambient,Ambient,TP9,Physiology,15:05,Run 5,20181103,Alive,,In Transit to URI 20190207,,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,1,P2,Pacuta,20180905,2060,8,ATAC,Ambient,Ambient,TP9,Physiology,12:28,Run 3,20181103,Alive,,In Transit to URI 20190207,,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,3,M30,Mcapitata,20180910,2391,8,ATAC,Ambient,Ambient,TP9,Physiology,12:28,Run 3,20181103,Alive,,In Transit to URI 20190207,,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,5,P43,Pacuta,20180910,2401,8,ATAC,Ambient,Ambient,TP9,Physiology,12:28,Run 3,20181103,Alive,,In Transit to URI 20190207,,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,5,M49,Mcapitata,20180906,1095,1,ATAC,Ambient,Ambient,TP10,Molecular,13:06,NA,20181117,Alive,,In Freezer at URI,20181127,20190722,ES,"77, 78",13.8,17.2,8.3,YES,12.9,11.1,8.4,90,90,90,90,1.242,1.161,1.548,0.999,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-22-Soft-and-Hard-Homogenization-Extractions-%2373-82.md,
SITE 6,Reef.42.43,2,P20,Pacuta,20180905,1159,1,ATAC,Ambient,Ambient,TP10,Molecular,13:03,NA,20181117,Alive,,In Freezer at URI,20181127,20190720,ES,"37, 38",53.1,47,6.9,YES,4.38,45.2,6.5,90,90,90,90,4.779,0.3942,4.23,4.068,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-20-Soft-and-Hard-Homogenization-Extractions-%2333-52.md,
SITE 1,Lilipuna.Fringe,7,P65,Pacuta,20180908,1559,8,ATAC,Ambient,Ambient,TP10,Molecular,13:32,NA,20181117,Alive,,In Freezer at URI,20181127,20190725,ES,"129, 130",50,43.1,8.4,YES,35.4,81.7,7.8,90,90,90,90,4.5,3.186,3.879,7.353,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-25-Soft-and-Hard-Homogenization-Extractions-119-138.md,
SITE 4,Reef.11.13,3,M26,Mcapitata,20180907,1561,8,ATAC,Ambient,Ambient,TP10,Molecular,13:30,NA,20181117,Alive,,In Freezer at URI,20181127,20190730,ES,"173, 174",22.2,30.7,8.6,YES,15.95,17.5,8.8,90,90,95,95,1.998,1.4355,2.9165,1.6625,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-30-Soft-and-Hard-Homogenization-Extractions-%23155-178.md,
SITE 2,HIMB,7,M70,Mcapitata,20180904,1631,6,ATAC,Ambient,Ambient,TP10,Molecular,13:24,NA,20181117,Alive,,In Freezer at URI,20181127,20190718,ES,"21, 22",20.4,13,8.7,YES,20.2,13.6,8.7,90,90,90,90,1.836,1.818,1.17,1.224,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,
SITE 2,HIMB,7,P65,Pacuta,20180905,1641,6,ATAC,Ambient,Ambient,TP10,Molecular,13:23,NA,20181117,Alive,,In Freezer at URI,20181127,20190720,ES,"39, 40",34.5,46.4,7.4,YES,26.9,26.6,6.8,90,90,90,90,3.105,2.421,4.176,2.394,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-20-Soft-and-Hard-Homogenization-Extractions-%2333-52.md,
SITE 3,Reef.18,1,M9,Mcapitata,20180910,1044,1,ATAC,Ambient,Ambient,TP10,Physiology,9:56,Run 1,20181117,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,8,P75,Pacuta,20180906,1084,1,ATAC,Ambient,Ambient,TP10,Physiology,9:56,Run 1,20181117,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,5,P42,Pacuta,20180907,1086,1,ATAC,Ambient,Ambient,TP10,Physiology,9:56,Run 1,20181117,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,1,M7,Mcapitata,20180910,1166,1,ATAC,Ambient,Ambient,TP10,Physiology,9:56,Run 1,20181117,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,4,M39,Mcapitata,20180906,1438,6,ATAC,Ambient,Ambient,TP10,Physiology,15:14,Run 5,20181117,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,1,M9,Mcapitata,20180907,1533,8,ATAC,Ambient,Ambient,TP10,Physiology,12:22,Run 3,20181117,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,5,M45,Mcapitata,20180905,1599,6,ATAC,Ambient,Ambient,TP10,Physiology,15:14,Run 5,20181117,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,5,P48,Pacuta,20180905,1630,6,ATAC,Ambient,Ambient,TP10,Physiology,15:14,Run 5,20181117,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,5,P45,Pacuta,20180905,1636,6,ATAC,Ambient,Ambient,TP10,Physiology,15:14,Run 5,20181117,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,1,P1,Pacuta,20180907,1686,8,ATAC,Ambient,Ambient,TP10,Physiology,12:22,Run 3,20181117,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,3,M29,Mcapitata,20180905,1774,8,ATAC,Ambient,Ambient,TP10,Physiology,12:22,Run 3,20181117,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,3,P30,Pacuta,20180910,2393,8,ATAC,Ambient,Ambient,TP10,Physiology,12:22,Run 3,20181117,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,3,M26,Mcapitata,20180906,1076,1,ATAC,Ambient,Ambient,TP11,Molecular,9:31,NA,20181215,Alive,In Tank 1 20181118,In Transit to URI ,20190206,20190930,ES,"479, 480",20,22.2,7.6,YES,16.35,17.2,**,90,90,95,95,1.8,1.4715,2.109,1.634,Batch3,,
SITE 6,Reef.42.43,5,P50,Pacuta,20180905,1103,1,ATAC,Ambient,Ambient,TP11,Molecular,9:28,NA,20181215,Alive,In Tank 1 20181118,In Transit to URI ,20190206,20190718,ES,#25 soft; #26 hard,56.6,62.6,8.2,YES,50.9,38.3,7.9,90,90,90,90,5.094,4.581,5.634,3.447,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,
SITE 2,HIMB,5,P43,Pacuta,20180905,1777,8,ATAC,Ambient,Ambient,TP11,Molecular,10:04,NA,20181215,Alive,In Tank 8 20181118,In Transit to URI ,20190206,20190930,ES,"481, 482",55.9,65.8,7.8,YES,39.2,32.5,7.3,90,90,95,95,5.031,3.528,6.251,3.0875,Batch3,,
SITE 3,Reef.18,6,M51,Mcapitata,20180910,2302,6,ATAC,Ambient,Ambient,TP11,Molecular,11:33,NA,20181215,Alive,combined E1/E2 hard DNA 492; phys no weigh; In Tank 6 20181118,In Transit to URI ,20190206,20191001,ES,"491, 492",12.25,17.7,8.7,YES,11.95,11.2,NA,90,90,95,95,1.1025,1.0755,1.6815,1.064,Batch3,,
SITE 3,Reef.18,2,P20,Pacuta,20180910,2306,6,ATAC,Ambient,Ambient,TP11,Molecular,11:26,NA,20181215,Alive,In Tank 6 20181118,In Transit to URI ,20190206,20190926,ES,"465, 466",73.1,77.2,8.4,YES,53.8,46.4,7.8,90,90,95,95,6.579,4.842,7.334,4.408,Batch3,,
SITE 2,HIMB,4,M32,Mcapitata,20180904,1644,8,ATAC,Ambient,Ambient,TP11,Molecular ,10:09,NA,20181215,Alive,In Tank 8 20181118,In Transit to URI ,20190206,20190718,ES,#17 soft; #18 hard,42.6,16.8,8.1,YES,34.1,15.8,8.2,90,90,90,90,3.834,3.069,1.512,1.422,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,
SITE 4,Reef.11.13,2,M18,Mcapitata,20180907,1053,1,ATAC,Ambient,Ambient,TP11,Molecular BB,9:34,NA,20181215,Alive,In Tank 1 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,5,P45,Pacuta,20180906,1056,1,ATAC,Ambient,Ambient,TP11,Molecular BB,9:24,NA,20181215,Alive,In Tank 1 20181118,In Transit to URI ,20190206,20190716,ES,#5 soft; #6 hard,39.4,34.2,6.9,NO,53.9,47.2,7.1,90,90,90,90,3.546,4.851,3.078,4.248,,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-16-Testing-Soft-and-Hard-Homogenization-Round-4.md,
SITE 4,Reef.11.13,7,M66,Mcapitata,20180907,1057,1,ATAC,Ambient,Ambient,TP11,Molecular BB,9:35,NA,20181215,Alive,In Tank 1 20181118,In Transit to URI ,20190206,NA,KW,used to test FACS,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,5,M46,Mcapitata,20180905,1115,1,ATAC,Ambient,Ambient,TP11,Molecular BB,9:30,NA,20181215,Alive,In Tank 1 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,1,M5,Mcapitata,20180905,1119,1,ATAC,Ambient,Ambient,TP11,Molecular BB,9:31,NA,20181215,Alive,In Tank 1 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,1,M7,Mcapitata,20180904,1123,1,ATAC,Ambient,Ambient,TP11,Molecular BB,9:36,NA,20181215,Alive,In Tank 1 20181118,In Transit to URI ,20190206,20190716,ES,#1 soft; #2 hard,20.8,11.8,6.1,NO,20.7,10.6,NA,90,90,90,90,1.872,1.863,1.062,0.954,,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-16-Testing-Soft-and-Hard-Homogenization-Round-4.md,
SITE 4,Reef.11.13,4,M33,Mcapitata,20180907,1424,6,ATAC,Ambient,Ambient,TP11,Molecular BB,11:30,NA,20181215,Alive,In Tank 6 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,6,P60,Pacuta,20180907,1431,6,ATAC,Ambient,Ambient,TP11,Molecular BB,11:24,NA,20181215,Alive,In Tank 6 20181118; off plug,In Transit to URI ,20190206,20190606,ES,Protocol testing,192.5,274,4,NO,130,158,3.3,90,90,90,90,17.325,11.7,24.66,14.22,,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-06-06-Testing-Soft-and-Hard-Homogenization-Protocol.md,
SITE 1,Lilipuna.Fringe,6,M55,Mcapitata,20180908,1475,6,ATAC,Ambient,Ambient,TP11,Molecular BB,11:32,NA,20181215,Alive,In Tank 6 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,7,M66,Mcapitata,20180906,1555,8,ATAC,Ambient,Ambient,TP11,Molecular BB,10:12,NA,20181215,Alive,In Tank 8 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,6,M54,Mcapitata,20180908,1591,8,ATAC,Ambient,Ambient,TP11,Molecular BB,10:12,NA,20181215,Alive,In Tank 8 20181118,In Transit to URI ,20190206,20190606,ES,Protocol testing,54.1,73.1,7,NO,108,66.2,7.7,90,90,90,90,4.869,9.72,6.579,5.958,,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-06-06-Testing-Soft-and-Hard-Homogenization-Protocol.md,
SITE 5,Reef.35.36,1,P5,Pacuta,20180906,1607,8,ATAC,Ambient,Ambient,TP11,Molecular BB,10:04,NA,20181215,Alive,In Tank 8 20181118,In Transit to URI ,20190206,20190716,ES,#7 soft; #8 hard ,18.55,27.8,6.3,NO,17.35,22.8,6,90,90,90,90,1.6695,1.5615,2.502,2.052,,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-16-Testing-Soft-and-Hard-Homogenization-Round-4.md,
SITE 2,HIMB,8,M73,Mcapitata,20180904,1654,8,ATAC,Ambient,Ambient,TP11,Molecular BB,10:11,NA,20181215,Alive,In Tank 8 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,6,M59,Mcapitata,20180905,1769,8,ATAC,Ambient,Ambient,TP11,Molecular BB,10:09,NA,20181215,Alive,In Tank 8 20181118; off plug,In Transit to URI ,20190206,20190716,ES,#3 soft; #4 hard,26.9,16.6,7.7,NO,28,20.4,8.2,90,90,90,90,2.421,2.52,1.494,1.836,,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-16-Testing-Soft-and-Hard-Homogenization-Round-4.md,
SITE 3,Reef.18,5,M50,Mcapitata,20180910,2308,6,ATAC,Ambient,Ambient,TP11,Molecular BB,11:34,NA,20181215,Alive,phys no weigh; In Tank 6 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,5,M45,Mcapitata,20180910,2309,6,ATAC,Ambient,Ambient,TP11,Molecular BB,11:28,NA,20181215,Alive,In Tank 6 20181118; off plug,In Transit to URI ,20190206,20190606,ES,Protocol testing,47.4,32.4,8.3,NO,65.5,75.5,7.1,90,90,90,90,4.266,5.895,2.916,6.795,,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-06-06-Testing-Soft-and-Hard-Homogenization-Protocol.md,
SITE 3,Reef.18,8,P72,Pacuta,20180910,2364,6,ATAC,Ambient,Ambient,TP11,Molecular BB,11:27,NA,20181215,Alive,In Tank 6 20181118,In Transit to URI ,20190206,20190606,ES,Protocol testing,55.1,202,6.9,NO,198.5,193,4.1,90,90,90,90,4.959,17.865,18.18,17.37,,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-06-06-Testing-Soft-and-Hard-Homogenization-Protocol.md,
SITE 5,Reef.35.36,4,P34,Pacuta,20180906,1045,1,ATAC,Ambient,Ambient,TP11,Physiology,9:26,NA,20181215,Alive,In Tank 1 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,3,M30,Mcapitata,20180908,1052,1,ATAC,Ambient,Ambient,TP11,Physiology,9:33,NA,20181215,Alive,In Tank 1 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,1,M2,Mcapitata,20180910,1210,1,ATAC,Ambient,Ambient,TP11,Physiology,9:30,NA,20181215,Alive,In Tank 1 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,5,M50,Mcapitata,20180907,1448,6,ATAC,Ambient,Ambient,TP11,Physiology,11:29,NA,20181215,Alive,In Tank 6 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,5,P49,Pacuta,20180908,1456,6,ATAC,Ambient,Ambient,TP11,Physiology,11:26,NA,20181215,Alive,In Tank 6 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,3,P22,Pacuta,20180906,1473,6,ATAC,Ambient,Ambient,TP11,Physiology,11:25,NA,20181215,Alive,In Tank 6 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
