Site,Site.Name,POINT,SITE.ID,Species,COLLECT.DATE,NCBI_Sample_Title,NCBI_Sample_Name,Plug_ID,Tank,Treatment,Temperature,CO2,Timepoint,ANALYSIS,TIME,RUN,Sample.Date,Dead.Alive,NOTES,Sample Location,Shipment Date,Extraction Date,Tech,Notes,Soft DNA ng_ul,Soft RNA ng_ul,Soft RNA RIN,READY FOR RNASEQ,Hard DNA ng_ul,Hard RNA ng_ul,Hard RNA RIN,Hard DNA uL,Soft DNA uL,Hard RNA uL,Soft RNA uL,Soft DNA ug,Hard DNA ug,Soft RNA ug,Hard RNA ug,Sequencing Batch,Link to notebook post,NCBI Link,host_subject_id,Project
SITE 2,HIMB,2,P12,Pacuta,20180905,2877_ATHC_HoloInt,2877_ATHC,2877,12,ATHC,Ambient,High,30 hour,Molecular,13:20,NA,20180923,Alive,NA,In Freezer at URI,20181210,20190731,ES,"213, 214 - 2nd DNA elution values",129.5,129,7.7,YES,59.1,48.2,7.7,90,90,95,95,11.655,5.319,12.255,4.579,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,NA,HPW073,HoloInt
SITE 1,Lilipuna.Fringe,3,P27,Pacuta,20180908,1466_HTAC_HoloInt,1466_HTAC,1466,7,HTAC,High,Ambient,1 week,Molecular,13:12,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190731,ES,"221, 222",54.8,58.8,8.3,YES,32.8,61.2,7.8,90,90,95,95,4.932,2.952,5.586,5.814,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,NA,HPW229,HoloInt
SITE 5,Reef.35.36,3,M22,Mcapitata,20180906,1705_HTAC_HoloInt,1705_HTAC,1705,9,HTAC,High,Ambient,1 week,Molecular,13:03,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190801,ES,"227, 228",16.2,60,8.7,YES,11.85,27.2,8.5,90,90,95,95,1.458,1.0665,5.7,2.584,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,NA,HPW265,HoloInt
SITE 6,Reef.42.43,4,M37,Mcapitata,20180905,2183_HTAC_HoloInt,2183_HTAC,2183,9,HTAC,High,Ambient,0 hour,Molecular,7:04,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190718,ES,"23, 24",16.85,12.9,8.9,YES,11.6,10.7,8.9,90,90,90,90,1.5165,1.044,1.161,0.963,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,NA,HPW208,HoloInt
SITE 2,HIMB,1,M9,Mcapitata,20180904,2866_ATHC_HoloInt,2866_ATHC,2866,12,ATHC,Ambient,High,6 hour,Molecular,13:13,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190801,ES,"231, 232",14.75,46.4,8.8,YES,10.8,20.4,7.5,90,90,95,95,1.3275,0.972,4.408,1.938,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,NA,HPW276,HoloInt
SITE 5,Reef.35.36,5,P49,Pacuta,20180906,1330_HTAC_HoloInt,1330_HTAC,1330,4,HTAC,High,Ambient,1 week,Molecular,12:59,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190801,ES,"233, 234",24.9,110,8.3,YES,16.8,82.5,8.8,90,90,95,95,2.241,1.512,10.45,7.8375,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,NA,HPW258,HoloInt
SITE 6,Reef.42.43,2,P19,Pacuta,20180905,1617_HTAC_HoloInt,1617_HTAC,1617,4,HTAC,High,Ambient,6 hour,Molecular,13:14,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190801,ES,"235, 236",24,91.7,8.5,YES,29.9,114,7.8,90,90,95,95,2.16,2.691,8.7115,10.83,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,NA,HPW264,HoloInt
SITE 5,Reef.35.36,7,M64,Mcapitata,20180906,1164_HTHC_HoloInt,1164_HTHC,1164,2,HTHC,High,High,1 week,Molecular,13:07,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190801,ES,"237, 238",15.15,46.1,7.9,YES,8.81,19.1,9.3,90,90,95,95,1.3635,0.7929,4.3795,1.8145,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,NA,HPW281,HoloInt
SITE 2,HIMB,1,P5,Pacuta,20180905,2870_ATHC_HoloInt,2870_ATHC,2870,11,ATHC,Ambient,High,1 week,Molecular,13:15,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190801,ES,"239, 240",39.1,129,8.9,YES,36,120,8.6,90,90,95,95,3.519,3.24,12.255,11.4,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,NA,HPW319,HoloInt
SITE 6,Reef.42.43,4,P39,Pacuta,20180905,1227_HTHC_HoloInt,1227_HTHC,1227,2,HTHC,High,High,6 hour,Molecular,13:26,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190801,ES,"241, 242",15.4,99.3,6.9,YES,10.55,145,7.9,90,90,95,95,1.386,0.9495,9.4335,13.775,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,NA,HPW216,HoloInt
SITE 3,Reef.18,2,M18,Mcapitata,20180910,2518_HTHC_HoloInt,2518_HTHC,2518,10,HTHC,High,High,6 hour,Molecular,13:16,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190801,ES,"243, 244",13.9,18.3,9.2,YES,9.3,17.9,8.8,90,90,95,95,1.251,0.837,1.7385,1.7005,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,NA,HPW219,HoloInt
SITE 1,Lilipuna.Fringe,3,P26,Pacuta,20180908,2999_ATHC_HoloInt,2999_ATHC,2999,12,ATHC,Ambient,High,1 week,Molecular,13:17,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190801,ES,"247, 248",54.2,105.5,7,YES,44,95.8,7,90,90,95,95,4.878,3.96,10.0225,9.101,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,NA,HPW249,HoloInt
SITE 5,Reef.35.36,6,M60,Mcapitata,20180906,1496_HTAC_HoloInt,1496_HTAC,1496,7,HTAC,High,Ambient,1 week,Molecular,13:13,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190801,ES,"249, 250",12.15,18.3,8.8,YES,8.89,11.3,**,90,90,95,95,1.0935,0.8001,1.7385,1.0735,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,NA,HPW185,HoloInt
SITE 6,Reef.42.43,5,P50,Pacuta,20180905,1103_ATAC_HoloInt,1103_ATAC,1103,1,ATAC,Ambient,Ambient,12 week,Molecular,9:28,NA,20181215,Alive,In Tank 1 20181118,In Transit to URI,20190206,20190718,ES,"25, 26",56.6,62.6,8.2,YES,50.9,38.3,7.9,90,90,90,90,5.094,4.581,5.634,3.447,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,NA,HPW092,HoloInt
SITE 6,Reef.42.43,1,P5,Pacuta,20180905,1755_ATAC_HoloInt,1755_ATAC,1755,6,ATAC,Ambient,Ambient,4 week,Molecular,13:41,NA,20181020,Alive,NA,In Freezer at URI,20181210,20190801,ES,"251, 252",19.25,56.8,8.2,YES,12,19.6,8.6,90,90,95,95,1.7325,1.08,5.396,1.862,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,NA,HPW112,HoloInt
SITE 6,Reef.42.43,4,M39,Mcapitata,20180905,1246_HTHC_HoloInt,1246_HTHC,1246,5,HTHC,High,High,4 week,Molecular,13:37,NA,20181020,Alive,NA,In Freezer at URI,20181210,20190801,ES,"253, 254",19,28.2,8.8,YES,19.85,53.1,8.2,90,90,95,95,1.71,1.7865,2.679,5.0445,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,NA,HPW101,HoloInt
SITE 2,HIMB,8,M72,Mcapitata,20180904,1128_HTHC_HoloInt,1128_HTHC,1128,2,HTHC,High,High,6 hour,Molecular,13:26,NA,20180922,Alive,"green columns used for DNA, DNA/RNA shield used as wash for DNA",In Freezer at URI,20181210,20190802,ES,"263, 264",10.65,47,8.7,YES,3.74,30.3,8.9,90,90,95,95,0.9585,0.3366,4.465,2.8785,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-02-Soft-and-Hard-Homogenization-Extractions-%23255-266.md,NA,HPW272,HoloInt
SITE 1,Lilipuna.Fringe,3,P28,Pacuta,20180908,1721_HTHC_HoloInt,1721_HTHC,1721,10,HTHC,High,High,1 week,Molecular,13:02,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190805,ES,"267, 268",33.9,79.8,7.6,YES,19.35,54.8,7.6,90,90,95,95,3.051,1.7415,7.581,5.206,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-05-Soft-and-Hard-Homogenization-Extractions-%23267-282.md,NA,HPW278,HoloInt
SITE 1,Lilipuna.Fringe,5,P48,Pacuta,20180908,1696_HTAC_HoloInt,1696_HTAC,1696,9,HTAC,High,Ambient,6 week,Molecular,13:25,NA,20181103,Alive,NA,In Freezer at URI,20181127,20190718,ES,"27, 28",28.9,40.2,9,YES,23.9,33.6,8.5,90,90,90,90,2.601,2.151,3.618,3.024,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,NA,HPW205,HoloInt
SITE 6,Reef.42.43,2,M11,Mcapitata,20180905,1114_ATAC_HoloInt,1114_ATAC,1114,1,ATAC,Ambient,Ambient,1 week,Molecular,13:11,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190805,ES,"271, 272",24.8,36,8.7,YES,10.05,23.6,6.4,90,90,95,95,2.232,0.9045,3.42,2.242,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-05-Soft-and-Hard-Homogenization-Extractions-%23267-282.md,NA,HPW269,HoloInt
SITE 3,Reef.18,6,P57,Pacuta,20180910,2527_HTHC_HoloInt,2527_HTHC,2527,10,HTHC,High,High,6 hour,Molecular,13:15,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190805,ES,"273, 274",68,125,7.7,YES,61.2,87.2,8.2,90,90,95,95,6.12,5.508,11.875,8.284,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-05-Soft-and-Hard-Homogenization-Extractions-%23267-282.md,NA,HPW190,HoloInt
SITE 4,Reef.11.13,7,P61,Pacuta,20180907,1637_ATAC_HoloInt,1637_ATAC,1637,8,ATAC,Ambient,Ambient,6 hour,Molecular,13:21,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190805,ES,"275, 276",86.6,106,7.9,YES,49.6,69.4,7.7,90,90,95,95,7.794,4.464,10.07,6.593,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-05-Soft-and-Hard-Homogenization-Extractions-%23267-282.md,NA,HPW253,HoloInt
SITE 4,Reef.11.13,1,M3,Mcapitata,20180907,1082_HTHC_HoloInt,1082_HTHC,1082,2,HTHC,High,High,4 week,Molecular,13:28,NA,20181020,Alive,combined E1 and E2 elutions,In Freezer at URI,20181210,20190805,ES,"279, 280",12.85,14,8,YES,14,12.2,8.2,100,90,95,95,1.1565,1.4,1.33,1.159,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-05-Soft-and-Hard-Homogenization-Extractions-%23267-282.md,NA,HPW116,HoloInt
SITE 6,Reef.42.43,6,M57,Mcapitata,20180905,1600_ATAC_HoloInt,1600_ATAC,1600,6,ATAC,Ambient,Ambient,0 hour,Molecular,7:25,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190718,ES,"29, 30",38.4,14.8,9,YES,26.6,15.2,9,90,90,90,90,3.456,2.394,1.332,1.368,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,NA,HPW215,HoloInt
SITE 4,Reef.11.13,1,M4,Mcapitata,20180907,1826_ATHC_HoloInt,1826_ATHC,1826,12,ATHC,Ambient,High,0 hour,Molecular,7:28,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190806,ES,"291, 292",18.35,25.8,8.9,YES,19,16.9,9,90,90,95,95,1.6515,1.71,2.451,1.6055,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-06-Soft-and-Hard-Homogenization-Extractions-%23283-302.md,NA,HPW221,HoloInt
SITE 3,Reef.18,4,P35,Pacuta,20180910,1728_HTAC_HoloInt,1728_HTAC,1728,4,HTAC,High,Ambient,2 week,Molecular,13:13,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190806,ES,"293, 294",108,77.9,8.1,YES,48.1,47.4,8.2,90,90,95,95,9.72,4.329,7.4005,4.503,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-06-Soft-and-Hard-Homogenization-Extractions-%23283-302.md,NA,HPW120,HoloInt
SITE 3,Reef.18,6,M54,Mcapitata,20180910,1544_ATHC_HoloInt,1544_ATHC,1544,3,ATHC,Ambient,High,6 hour,Molecular,13:24,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190806,ES,"295, 296",14.85,22.3,8.8,YES,15.55,16.9,8.9,90,90,95,95,1.3365,1.3995,2.1185,1.6055,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-06-Soft-and-Hard-Homogenization-Extractions-%23283-302.md,NA,HPW286,HoloInt
SITE 6,Reef.42.43,4,M32,Mcapitata,20180905,1223_ATHC_HoloInt,1223_ATHC,1223,3,ATHC,Ambient,High,2 week,Molecular,13:12,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190806,ES,"297, 298",11.9,14.4,9.2,YES,5.99,11.9,**,90,90,95,95,1.071,0.5391,1.368,1.1305,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-06-Soft-and-Hard-Homogenization-Extractions-%23283-302.md,NA,HPW129,HoloInt
SITE 6,Reef.42.43,1,M6,Mcapitata,20180905,1611_ATAC_HoloInt,1611_ATAC,1611,6,ATAC,Ambient,Ambient,1 week,Molecular,13:20,NA,20180929,Alive,NA,In Freezer at URI,20181210,20190806,ES,"299, 300",11.45,20.4,8.8,YES,5.64,18.5,NA,90,90,95,95,1.0305,0.5076,1.938,1.7575,Batch3,NA,NA,HPW250,HoloInt
SITE 6,Reef.42.43,2,P14,Pacuta,20180905,1775_ATAC_HoloInt,1775_ATAC,1775,8,ATAC,Ambient,Ambient,0 hour,Molecular,7:12,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190718,ES,"3, 4",46.2,57.7,6.8,YES,37.2,46.2,6.9,90,90,90,90,4.158,3.348,5.193,4.158,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,NA,HPW237,HoloInt
SITE 2,HIMB,2,M18,Mcapitata,20180904,2875_ATHC_HoloInt,2875_ATHC,2875,12,ATHC,Ambient,High,2 week,Molecular,13:43,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190806,ES,"301, 302",29,26.3,8.7,YES,11.35,17.9,8.7,90,90,95,95,2.61,1.0215,2.4985,1.7005,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-06-Soft-and-Hard-Homogenization-Extractions-%23283-302.md,NA,HPW130,HoloInt
SITE 2,HIMB,5,M49,Mcapitata,20180904,2860_ATHC_HoloInt,2860_ATHC,2860,11,ATHC,Ambient,High,2 week,Molecular,13:40,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190807,ES,"303, 304",43.5,45.1,9.1,YES,17.75,23.7,9,90,90,95,95,3.915,1.5975,4.2845,2.2515,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-07-Soft-and-Hard-Homogenization-Extractions-%23303-322.md,NA,HPW167,HoloInt
SITE 6,Reef.42.43,2,M13,Mcapitata,20180905,1126_HTHC_HoloInt,1126_HTHC,1126,2,HTHC,High,High,2 week,Molecular,13:50,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190807,ES,"305, 306",19.1,30.7,8.7,YES,13.4,16.6,8.8,90,90,95,95,1.719,1.206,2.9165,1.577,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-07-Soft-and-Hard-Homogenization-Extractions-%23303-322.md,NA,HPW095,HoloInt
SITE 6,Reef.42.43,7,M66,Mcapitata,20180905,2204_HTHC_HoloInt,2204_HTHC,2204,10,HTHC,High,High,12 hour,Molecular,19:30,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190807,ES,"307, 308",21.4,41.4,8.6,YES,11.45,33.4,9.1,90,90,95,95,3.726,3.006,1.08775,0.817,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-07-Soft-and-Hard-Homogenization-Extractions-%23303-322.md,NA,HPW240,HoloInt
SITE 5,Reef.35.36,5,P46,Pacuta,20180906,1744_HTAC_HoloInt,1744_HTAC,1744,9,HTAC,High,Ambient,1 week,Molecular,13:04,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190807,ES,"309, 310",27.4,83.6,8.4,YES,21.8,40.3,8.2,90,90,95,95,2.466,1.962,7.942,3.8285,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-07-Soft-and-Hard-Homogenization-Extractions-%23303-322.md,NA,HPW226,HoloInt
SITE 5,Reef.35.36,4,M33,Mcapitata,20180906,1580_ATAC_HoloInt,1580_ATAC,1580,8,ATAC,Ambient,Ambient,6 week,Molecular,13:26,NA,20181103,Alive,NA,In Freezer at URI,20181127,20190718,ES,"31, 32",22.4,24,8.7,YES,15.8,11.7,8.4,90,90,90,90,2.016,1.422,2.16,1.053,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,NA,HPW207,HoloInt
SITE 1,Lilipuna.Fringe,6,P51,Pacuta,20180908,1427_HTHC_HoloInt,1427_HTHC,1427,5,HTHC,High,High,2 week,Molecular,13:15,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190807,ES,"311, 312",42.9,52.3,8.8,YES,29.7,34.3,8.5,90,90,95,95,3.861,2.673,4.9685,3.2585,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-07-Soft-and-Hard-Homogenization-Extractions-%23303-322.md,NA,HPW121,HoloInt
SITE 1,Lilipuna.Fringe,8,P74,Pacuta,20180908,1090_HTHC_HoloInt,1090_HTHC,1090,2,HTHC,High,High,2 week,Molecular,13:48,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190807,ES,"313, 314",31.5,30.6,8.4,YES,14,25.4,8.1,90,90,95,95,2.835,1.26,2.907,2.413,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-07-Soft-and-Hard-Homogenization-Extractions-%23303-322.md,NA,HPW177,HoloInt
SITE 5,Reef.35.36,8,M71,Mcapitata,20180906,1323_HTHC_HoloInt,1323_HTHC,1323,5,HTHC,High,High,0 hour,Molecular,7:23,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190807,ES,"315, 316",19.5,23.4,9.2,YES,10.75,17,**,90,90,95,95,1.755,0.9675,2.223,1.615,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-07-Soft-and-Hard-Homogenization-Extractions-%23303-322.md,NA,HPW257,HoloInt
SITE 1,Lilipuna.Fringe,1,P9,Pacuta,20180908,1487_HTAC_HoloInt,1487_HTAC,1487,7,HTAC,High,Ambient,2 week,Molecular,13:23,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190807,ES,"317, 318",37.2,68.8,7.4,YES,36.1,33.9,7.3,90,90,95,95,3.348,3.249,6.536,3.2205,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-07-Soft-and-Hard-Homogenization-Extractions-%23303-322.md,NA,HPW128,HoloInt
SITE 2,HIMB,1,P1,Pacuta,20180905,2878_ATHC_HoloInt,2878_ATHC,2878,12,ATHC,Ambient,High,2 week,Molecular,13:41,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190807,ES,"319, 320",48.1,58.9,8.2,YES,48.7,50.3,7.9,90,90,95,95,4.329,4.383,5.5955,4.7785,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-07-Soft-and-Hard-Homogenization-Extractions-%23303-322.md,NA,HPW139,HoloInt
SITE 3,Reef.18,5,P48,Pacuta,20180910,2414_HTAC_HoloInt,2414_HTAC,2414,9,HTAC,High,Ambient,0 hour,Molecular,7:04,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190807,ES,"321, 322",63.7,112,8.6,YES,48,59.3,8.2,90,90,95,95,5.733,4.32,10.64,5.6335,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-07-Soft-and-Hard-Homogenization-Extractions-%23303-322.md,NA,HPW206,HoloInt
SITE 1,Lilipuna.Fringe,7,P68,Pacuta,20180908,2409_ATHC_HoloInt,2409_ATHC,2409,11,ATHC,Ambient,High,2 week,Molecular,13:39,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190808,ES,"323, 324",73.5,46.1,8.2,YES,55.7,49.9,7.8,90,90,95,95,6.615,5.013,4.3795,4.7405,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-08-Soft-and-Hard-Homogenization-Extractions-%23323-332.md,NA,HPW115,HoloInt
SITE 1,Lilipuna.Fringe,1,P8,Pacuta,20180908,1047_ATAC_HoloInt,1047_ATAC,1047,1,ATAC,Ambient,Ambient,2 week,Molecular,13:44,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190808,ES,"325, 326",57.5,88.4,8.3,YES,37.4,30.8,7.8,90,90,95,95,5.175,3.366,8.398,2.926,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-08-Soft-and-Hard-Homogenization-Extractions-%23323-332.md,NA,HPW145,HoloInt
SITE 2,HIMB,5,P50,Pacuta,20180905,1595_HTHC_HoloInt,1595_HTHC,1595,5,HTHC,High,High,1 week,Molecular,13:14,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190808,ES,"327, 328",88.1,96.1,8.5,YES,57.6,66.1,8.6,90,90,95,95,7.929,5.184,9.1295,6.2795,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-08-Soft-and-Hard-Homogenization-Extractions-%23323-332.md,NA,HPW310,HoloInt
SITE 5,Reef.35.36,6,M53,Mcapitata,20180906,1499_ATAC_HoloInt,1499_ATAC,1499,8,ATAC,Ambient,Ambient,2 week,Molecular,13:31,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190808,ES,"329, 330",27.5,19.4,9,YES,14.35,18,8.7,90,90,95,95,2.475,1.2915,1.843,1.71,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-08-Soft-and-Hard-Homogenization-Extractions-%23323-332.md,NA,HPW168,HoloInt
SITE 3,Reef.18,8,P73,Pacuta,20180910,2363_ATAC_HoloInt,2363_ATAC,2363,6,ATAC,Ambient,Ambient,0 hour,Molecular,7:25,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190720,ES,"33, 34",57.2,69.4,7.4,YES,40.2,48,7.5,90,90,90,90,5.148,3.618,6.246,4.32,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-20-Soft-and-Hard-Homogenization-Extractions-%2333-52.md,NA,HPW225,HoloInt
SITE 5,Reef.35.36,1,M10,Mcapitata,20180906,2068_ATHC_HoloInt,2068_ATHC,2068,11,ATHC,Ambient,High,0 hour,Molecular,7:19,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190808,ES,"331, 332",17.95,15.4,8.1,YES,11.15,15.6,**,90,90,95,95,1.6155,1.0035,1.463,1.482,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-08-Soft-and-Hard-Homogenization-Extractions-%23323-332.md,NA,HPW287,HoloInt
SITE 3,Reef.18,3,P21,Pacuta,20180910,2413_ATAC_HoloInt,2413_ATAC,2413,8,ATAC,Ambient,Ambient,2 week,Molecular,13:30,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190809,ES,"333, 334",59.1,70.9,8.5,YES,36.9,43.9,8,90,90,95,95,5.319,3.321,6.7355,4.1705,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-09-Soft-and-Hard-Homogenization-Extractions-%23333-342.md,NA,HPW079,HoloInt
SITE 2,HIMB,1,P8,Pacuta,20180905,1138_HTHC_HoloInt,1138_HTHC,1138,2,HTHC,High,High,1 week,Molecular,13:08,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190809,ES,"335, 336",47.2,59.2,8.8,YES,33.1,33.5,8.2,90,90,95,95,5.328,2.979,3.1445,3.1825,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-09-Soft-and-Hard-Homogenization-Extractions-%23333-342.md,NA,HPW220,HoloInt
SITE 6,Reef.42.43,8,M71,Mcapitata,20180905,1250_HTHC_HoloInt,1250_HTHC,1250,5,HTHC,High,High,2 week,Molecular,13:16,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190809,ES,"337, 338",16.2,15,9.1,YES,12.5,12.4,**,90,90,95,95,1.458,1.125,1.425,1.178,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-09-Soft-and-Hard-Homogenization-Extractions-%23333-342.md,NA,HPW153,HoloInt
SITE 4,Reef.11.13,6,M60,Mcapitata,20180907,1278_HTAC_HoloInt,1278_HTAC,1278,4,HTAC,High,Ambient,2 week,Molecular,13:14,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190809,ES,"339, 340",32.6,25,8.8,YES,19.1,17.8,8.7,90,90,95,95,2.934,1.719,2.375,1.691,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-09-Soft-and-Hard-Homogenization-Extractions-%23333-342.md,NA,HPW089,HoloInt
